num_doctors,num_patients,System,Średni czas pacjenta (min),Nadgodziny (min),Czas bezczynności (min),Std czas pacjenta,Std nadgodziny,Std czas bezczynności
1,150,Z terminem,24.421,2397.550,216.370,2.485,7.387,51.537
1,150,Bez terminu,1125.742,2180.420,8.840,32.544,51.775,6.332
2,150,Z terminem,22.717,900.440,217.100,1.348,5.947,51.199
2,150,Bez terminu,436.206,801.880,20.830,18.475,24.099,11.678
3,150,Z terminem,22.284,401.080,213.120,1.182,5.590,43.952
3,150,Bez terminu,212.134,347.430,49.750,16.693,15.707,24.428
4,150,Z terminem,22.058,155.760,217.250,1.371,4.287,47.823
4,150,Bez terminu,100.601,122.990,82.560,13.388,14.994,36.023
5,150,Z terminem,22.235,2.330,225.460,1.196,4.866,51.089
5,150,Bez terminu,43.516,10.810,248.950,8.089,12.110,48.029
6,150,Z terminem,22.401,-97.090,818.650,1.021,5.076,43.783
6,150,Bez terminu,28.067,3.260,837.950,3.819,12.442,50.462
7,150,Z terminem,22.360,-162.740,1428.340,1.069,4.254,45.345
7,150,Bez terminu,22.480,5.600,1445.750,2.163,10.751,52.697
8,150,Z terminem,22.698,-219.830,2021.440,1.171,3.899,47.423
8,150,Bez terminu,20.804,4.440,2033.190,0.823,12.425,52.182
9,150,Z terminem,22.872,-260.120,2628.770,1.350,3.694,58.648
9,150,Bez terminu,20.101,2.930,2629.660,0.598,13.730,49.996
10,150,Z terminem,23.262,-295.610,3226.480,1.379,3.625,51.367
10,150,Bez terminu,19.813,5.380,3240.350,0.436,12.260,51.238
