num_doctors,num_patients,System,Średni czas pacjenta (min),Nadgodziny (min),Czas bezczynności (min),Std czas pacjenta,Std nadgodziny,Std czas bezczynności
5,10,Z terminem,26.383,-553.670,2814.330,2.313,4.231,13.716
5,10,Bez terminu,19.222,-83.320,2814.420,1.421,52.293,13.902
5,20,Z terminem,25.536,-514.500,2629.280,2.524,4.638,19.250
5,20,Bez terminu,19.138,-46.620,2629.760,0.981,38.147,19.167
5,30,Z terminem,24.873,-475.490,2441.120,2.306,4.912,22.311
5,30,Bez terminu,19.089,-30.190,2447.330,0.734,32.992,22.991
5,40,Z terminem,24.164,-436.090,2255.830,1.847,4.423,20.252
5,40,Bez terminu,19.136,-19.500,2262.290,0.630,24.873,25.279
5,50,Z terminem,23.538,-396.600,2073.820,1.939,5.111,27.376
5,50,Bez terminu,19.341,-15.850,2072.530,0.665,23.443,29.426
5,60,Z terminem,23.031,-357.050,1891.740,1.827,4.631,32.911
5,60,Bez terminu,19.505,-12.020,1890.690,0.653,21.577,29.520
5,70,Z terminem,22.756,-317.230,1707.080,1.732,4.968,33.724
5,70,Bez terminu,19.727,-9.520,1705.890,0.872,21.020,36.644
5,80,Z terminem,22.946,-277.090,1515.310,1.752,4.495,38.102
5,80,Bez terminu,20.066,-5.770,1523.520,0.925,19.076,36.779
5,90,Z terminem,22.688,-237.840,1332.150,1.483,5.576,38.269
5,90,Bez terminu,21.030,-2.500,1339.390,1.610,18.075,40.005
5,100,Z terminem,22.634,-197.460,1148.890,1.650,5.045,44.530
5,100,Bez terminu,21.954,-3.300,1152.520,1.684,18.399,39.202
5,110,Z terminem,22.479,-156.940,963.670,1.513,5.227,44.147
5,110,Bez terminu,23.162,0.320,974.900,2.819,14.236,46.308
5,120,Z terminem,22.379,-117.730,779.200,1.308,4.849,43.829
5,120,Bez terminu,26.299,-1.730,785.220,3.624,15.842,44.945
5,130,Z terminem,22.306,-76.770,588.890,1.166,4.308,46.631
5,130,Bez terminu,30.457,2.000,603.700,4.810,15.887,44.346
5,140,Z terminem,22.381,-36.910,404.240,1.105,5.659,46.840
5,140,Bez terminu,34.082,5.900,432.100,6.715,14.670,44.492
5,150,Z terminem,22.280,2.470,223.540,1.267,4.937,51.364
5,150,Bez terminu,40.922,12.670,253.180,8.121,12.447,57.615
5,160,Z terminem,22.202,42.440,212.740,1.184,4.999,49.836
5,160,Bez terminu,55.206,29.300,147.600,10.799,15.227,55.997
5,170,Z terminem,21.975,82.950,232.360,1.133,4.464,49.057
5,170,Bez terminu,71.324,62.790,121.580,11.799,14.639,47.845
5,180,Z terminem,21.988,122.420,246.700,1.177,4.398,47.139
5,180,Bez terminu,85.639,94.900,102.480,11.843,14.588,46.076
5,190,Z terminem,22.184,163.060,251.110,0.977,5.295,51.525
5,190,Bez terminu,102.643,131.500,98.940,12.505,13.934,41.513
5,200,Z terminem,21.969,202.570,272.030,0.933,3.976,55.864
5,200,Bez terminu,120.880,168.120,90.610,13.687,13.570,44.994
5,210,Z terminem,21.986,242.930,286.930,0.996,4.805,50.455
5,210,Bez terminu,139.358,203.270,86.660,12.923,14.466,32.998
5,220,Z terminem,21.861,282.460,307.680,0.948,4.734,58.027
5,220,Bez terminu,155.701,237.140,77.370,14.130,14.921,32.674
5,230,Z terminem,21.993,322.800,314.030,0.927,5.215,57.489
5,230,Bez terminu,174.740,275.430,74.410,13.023,13.687,33.837
5,240,Z terminem,21.902,362.760,327.530,0.812,4.669,55.833
5,240,Bez terminu,189.464,308.670,67.440,13.408,14.201,27.763
5,250,Z terminem,21.917,402.400,345.240,0.911,5.175,61.636
5,250,Bez terminu,207.815,346.480,70.730,12.237,14.990,31.010
5,260,Z terminem,21.960,443.230,354.550,0.854,4.984,64.506
5,260,Bez terminu,226.104,383.660,58.310,13.383,14.714,27.482
5,270,Z terminem,21.837,483.460,377.560,0.886,4.881,67.646
5,270,Bez terminu,244.410,420.400,62.190,13.545,16.110,25.495
5,280,Z terminem,21.884,523.020,388.660,0.850,5.267,66.365
5,280,Bez terminu,262.916,459.060,61.980,11.975,14.555,26.736
5,290,Z terminem,21.796,563.130,410.390,0.729,4.734,64.263
5,290,Bez terminu,279.175,492.950,58.360,12.448,15.244,23.019
5,300,Z terminem,21.789,603.540,424.630,0.775,5.019,63.910
5,300,Bez terminu,297.613,529.050,53.940,12.945,15.725,23.687
