Run,System,Średni_czas_pacjenta,Nadgodziny,Czas_bezczynności
0,Z terminem,22.093,9.000,266.000
1,Z terminem,24.107,-4.000,210.000
2,Z terminem,20.907,-5.000,259.000
3,Z terminem,24.353,10.000,124.000
4,Z terminem,24.127,0.000,128.000
5,Z terminem,21.260,-1.000,232.000
6,Z terminem,21.193,3.000,260.000
7,Z terminem,21.460,5.000,297.000
8,Z terminem,22.993,1.000,165.000
9,Z terminem,20.940,0.000,265.000
10,Z terminem,21.367,8.000,287.000
11,Z terminem,21.673,2.000,211.000
12,Z terminem,21.820,0.000,222.000
13,Z terminem,22.433,4.000,200.000
14,Z terminem,21.740,-1.000,216.000
15,Z terminem,20.553,-2.000,318.000
16,Z terminem,22.800,6.000,206.000
17,Z terminem,22.653,5.000,200.000
18,Z terminem,21.373,7.000,278.000
19,Z terminem,26.367,10.000,101.000
20,Z terminem,22.033,-4.000,217.000
21,Z terminem,22.447,5.000,211.000
22,Z terminem,21.233,11.000,287.000
23,Z terminem,21.060,2.000,230.000
24,Z terminem,21.447,3.000,232.000
25,Z terminem,23.373,-3.000,159.000
26,Z terminem,23.567,7.000,177.000
27,Z terminem,21.500,4.000,235.000
28,Z terminem,24.353,3.000,137.000
29,Z terminem,21.393,2.000,297.000
30,Z terminem,22.887,1.000,187.000
31,Z terminem,24.520,8.000,146.000
32,Z terminem,21.600,3.000,261.000
33,Z terminem,22.913,5.000,190.000
34,Z terminem,20.407,0.000,299.000
35,Z terminem,21.853,-1.000,234.000
36,Z terminem,20.313,-1.000,312.000
37,Z terminem,25.940,2.000,135.000
38,Z terminem,23.873,-3.000,153.000
39,Z terminem,22.367,3.000,181.000
40,Z terminem,21.413,7.000,247.000
41,Z terminem,21.133,1.000,251.000
42,Z terminem,22.400,16.000,234.000
43,Z terminem,22.033,4.000,201.000
44,Z terminem,21.233,3.000,245.000
45,Z terminem,20.880,1.000,296.000
46,Z terminem,20.493,1.000,296.000
47,Z terminem,23.593,-10.000,191.000
48,Z terminem,22.400,7.000,211.000
49,Z terminem,21.700,-7.000,257.000
50,Z terminem,22.493,-6.000,256.000
51,Z terminem,22.973,-3.000,169.000
52,Z terminem,21.840,0.000,247.000
53,Z terminem,21.293,5.000,297.000
54,Z terminem,21.380,1.000,265.000
55,Z terminem,21.167,1.000,253.000
56,Z terminem,24.167,2.000,177.000
57,Z terminem,24.120,7.000,157.000
58,Z terminem,22.020,0.000,174.000
59,Z terminem,22.267,6.000,245.000
60,Z terminem,22.820,2.000,230.000
61,Z terminem,22.327,5.000,225.000
62,Z terminem,21.860,-7.000,240.000
63,Z terminem,20.833,6.000,288.000
64,Z terminem,25.473,-6.000,166.000
65,Z terminem,23.653,1.000,172.000
66,Z terminem,22.613,3.000,185.000
67,Z terminem,21.620,-6.000,273.000
68,Z terminem,19.920,0.000,358.000
69,Z terminem,20.907,0.000,262.000
70,Z terminem,23.960,-4.000,133.000
71,Z terminem,23.333,9.000,193.000
72,Z terminem,22.647,7.000,202.000
73,Z terminem,22.113,7.000,263.000
74,Z terminem,21.387,3.000,250.000
75,Z terminem,22.413,6.000,208.000
76,Z terminem,22.153,5.000,203.000
77,Z terminem,21.500,4.000,232.000
78,Z terminem,22.613,11.000,193.000
79,Z terminem,23.907,7.000,132.000
80,Z terminem,21.867,13.000,233.000
81,Z terminem,20.933,11.000,284.000
82,Z terminem,21.253,-6.000,286.000
83,Z terminem,21.540,3.000,265.000
84,Z terminem,20.340,3.000,303.000
85,Z terminem,23.787,11.000,192.000
86,Z terminem,22.007,2.000,193.000
87,Z terminem,22.640,7.000,193.000
88,Z terminem,23.907,-6.000,165.000
89,Z terminem,23.607,-1.000,195.000
90,Z terminem,22.013,4.000,228.000
91,Z terminem,23.487,10.000,157.000
92,Z terminem,24.067,1.000,156.000
93,Z terminem,22.227,-3.000,226.000
94,Z terminem,21.853,-1.000,253.000
95,Z terminem,21.113,0.000,248.000
96,Z terminem,20.873,-4.000,295.000
97,Z terminem,21.253,0.000,249.000
98,Z terminem,23.507,2.000,177.000
99,Z terminem,21.340,8.000,254.000
0,Bez terminu,30.527,12.000,286.000
1,Bez terminu,48.087,10.000,268.000
2,Bez terminu,38.080,10.000,281.000
3,Bez terminu,54.547,18.000,185.000
4,Bez terminu,40.267,22.000,289.000
5,Bez terminu,45.020,15.000,244.000
6,Bez terminu,42.840,15.000,250.000
7,Bez terminu,43.633,3.000,204.000
8,Bez terminu,51.000,13.000,293.000
9,Bez terminu,34.493,13.000,315.000
10,Bez terminu,34.607,8.000,228.000
11,Bez terminu,38.760,-1.000,167.000
12,Bez terminu,48.460,0.000,211.000
